time,SO4_sfc_diff,SO2_sfc_diff,DMS_sfc_diff,HMS_sfc_diff,SS_sfc_diff,SF_sfc_diff,NK_sfc_diff
2022-07-24 12:00:00,3.016552920674543e-11,9.946640020835486e-11,6.33275432594801e-12,4.120543876915058e-13,-1.182622118126113e-14,1.479197942490882e-11,147574852.0159912
2022-07-24 13:00:00,3.146267359832729e-11,9.967097977782327e-11,3.543029391217582e-12,4.1966374389832644e-13,-1.148689276396356e-14,1.4147782826332413e-11,71643828.6016388
2022-07-24 14:00:00,3.23996409927659e-11,9.705830613119086e-11,2.329470315275019e-12,4.2291884152737005e-13,-1.0870524855436691e-14,1.3587630611295097e-11,53617010.9908905
2022-07-24 15:00:00,3.389950301890535e-11,9.160297129688351e-11,1.9632162753822997e-12,4.213855876565867e-13,-1.1212221768760686e-14,1.3675831394537728e-11,36532629.959854126
2022-07-24 16:00:00,3.6674140773451173e-11,8.623741934810391e-11,1.7947158817125667e-12,4.3224356545874207e-13,-1.1190719260849749e-14,1.3800564373948176e-11,24740956.636001587
2022-07-24 17:00:00,3.945087260025854e-11,8.06233201083351e-11,1.7951361409673084e-12,4.4071829798823697e-13,-1.1359570580912605e-14,1.3470814104187093e-11,24202216.271247864
2022-07-24 18:00:00,4.1529463926232975e-11,7.555496034628663e-11,1.7985562114239616e-12,4.404893506219109e-13,-1.160350400694697e-14,1.299247460607895e-11,56310089.346321106
2022-07-24 19:00:00,4.336232203871115e-11,7.093603332432076e-11,1.6219367713794353e-12,4.4145536628305254e-13,-1.200234529991704e-14,1.2471063852234682e-11,79389615.20925903
2022-07-24 20:00:00,4.464182833114238e-11,6.690105930883922e-11,1.888390916252564e-12,4.4036909144783494e-13,-1.1995145058298597e-14,1.1788627315745316e-11,94845244.95574951
2022-07-24 21:00:00,4.531280763301454e-11,6.193189653326258e-11,3.745853305127077e-12,4.378968026968299e-13,-1.1854249375340732e-14,1.0796869573202741e-11,108623278.21468353
